Posting Date,Supplier,Warehouse,Item Code,Qty,Rate,Lot Code
2026-07-18,華誠電子,A 倉,MLCC-0603-104K-X7R,12000,0.85,K4A2H1
2026-06-30,華誠電子,D 倉,MLCC-0603-104K-X7R,15000,0.85,K3F9B2
2026-07-24,立揚科技,J 倉,XTAL-24M-SMD3225,26000,4.20,P8R37C
2026-05-29,泓宇通訊,C 倉,LANT-H1102NL,16200,18.50,D5K21M
2026-07-02,華誠電子,B 倉,TVS-SMAJ5.0CA,56500,1.10,M2Q88R
2026-07-11,剑隆電子,F 倉,MCU-STM32F103C8T6,1500,65.00,T7B45N
2026-06-12,泓宇通訊,H 倉,GDT-2R090-8,3300,6.80,W1C09J
2026-08-02,元捷資訊,M 倉,SSD-M2-256G-3D,800,680.00,R9E62K
2026-07-09,立揚科技,E 倉,MLCC-0402-105K-X5R,128000,0.62,S4N77A
2026-08-01,冠鑫材料,H 倉,FUSE-1206-2A-125V,9400,2.30,B3H90L
2026-07-27,華誠電子,G 倉,LED-0805-RED-20MA,44000,0.45,N6Q12F
2026-06-21,立揚科技,I 倉,XTAL-24M-SMD3225,7600,4.20,P7R11X
2026-08-03,泓宇通訊,K 倉,ANT-2G4-PCB-FPC,2100,12.00,C0K44T
2026-07-05,剑隆電子,L 倉,RES-0603-1K-1%",210000,0.15,E5V63P
